,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0,_datetime
1979-01-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-01-31,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-02-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-03-31,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-04-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
